accelerator,model,pe_x,pe_y,total_cycle,pe_array_area_mm2,weight_buffer_area_mm2,input_buffer_area_mm2,total_area_mm2,total_macs,dram_energy_mJ,onchip_energy_mJ,total_energy_mJ,edp,log_file
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,106,16,172147670.0,0.471488,0.597357,0.524382,0.471488,,50899.24,34837.09,85736.33,14759310068621.78,test_flexposit_x106_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,108,16,2777338.0,0.393984,0.504615,0.467155,0.393984,,800.72,757.02,1557.74,4326363795.83,test_olive_x108_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,108,16,3510287.0,0.393984,0.504615,0.467155,0.393984,,1009.24,988.02,1997.26,7010938511.35,test_olive_x108_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,108,16,110252351.0,0.393984,0.504615,0.467155,0.393984,,32584.07,27111.26,59695.32,6581549490346.35,test_olive_x108_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,108,16,110153796.0,0.393984,0.504615,0.467155,0.393984,,32555.05,27086.2,59641.25,6569710299055.13,test_olive_x108_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,108,16,274954917.0,0.393984,0.504615,0.467155,0.393984,,81291.89,67021.6,148313.5,40779524757119.51,test_olive_x108_y16.log
Baseline (FP16),gpt2-large,70,16,5456734.0,1.05504,0.522987,0.485785,1.05504,,1604.79,941.67,2546.47,13895391186.84,test_baseline_x70_y16.log
Baseline (FP16),gpt2-xl,70,16,6865291.0,1.05504,0.522987,0.485785,1.05504,,2023.31,1212.13,3235.45,22212297683.99,test_baseline_x70_y16.log
Baseline (FP16),microsoft/phi-2,70,16,220404076.0,1.05504,0.522987,0.485785,1.05504,,65179.13,35517.54,100696.67,22193957241112.32,test_baseline_x70_y16.log
Baseline (FP16),facebook/opt-2.7b,70,16,220206503.0,1.05504,0.522987,0.485785,1.05504,,65120.7,35486.65,100607.35,22154393334491.0,test_baseline_x70_y16.log
Baseline (FP16),meta-llama/Llama-2-7b-hf,70,16,549799110.0,1.05504,0.522987,0.485785,1.05504,,162619.32,88291.65,250910.97,137950629602179.36,test_baseline_x70_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,120,16,2777338.0,0.43776,0.51017,0.467155,0.43776,,800.72,767.47,1568.19,4355390304.66,test_olive_x120_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,120,16,3510287.0,0.43776,0.51017,0.467155,0.43776,,1009.24,1005.34,2014.58,7071762660.07,test_olive_x120_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,120,16,110252351.0,0.43776,0.51017,0.467155,0.43776,,32584.07,27478.91,60062.98,6622084671234.22,test_olive_x120_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,120,16,110153796.0,0.43776,0.51017,0.467155,0.43776,,32555.05,27454.16,60009.21,6610242680516.13,test_olive_x120_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,120,16,274954917.0,0.43776,0.51017,0.467155,0.43776,,81291.89,67924.07,149215.96,41027662861322.09,test_olive_x120_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,58,16,2777338.0,0.211584,0.519264,0.467155,0.211584,,800.72,730.97,1531.69,4254012477.02,test_olive_x58_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,58,16,3510287.0,0.211584,0.519264,0.467155,0.211584,,1009.24,936.99,1946.23,6831834180.14,test_olive_x58_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,58,16,110252351.0,0.211584,0.519264,0.467155,0.211584,,32584.07,28071.77,60655.84,6687448410668.62,test_olive_x58_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,58,16,110153796.0,0.211584,0.519264,0.467155,0.211584,,32555.05,28046.99,60602.04,6675544721709.99,test_olive_x58_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,58,16,274954917.0,0.211584,0.519264,0.467155,0.211584,,81291.89,69311.39,150603.28,41409113373291.32,test_olive_x58_y16.log
OLIVE (Non-uniform Quantization),gpt2-large,72,16,2777338.0,0.262656,0.535461,0.467155,0.262656,,800.72,732.13,1532.85,4257235976.09,test_olive_x72_y16.log
OLIVE (Non-uniform Quantization),gpt2-xl,72,16,3510287.0,0.262656,0.535461,0.467155,0.262656,,1009.24,943.52,1952.76,6854743064.53,test_olive_x72_y16.log
OLIVE (Non-uniform Quantization),microsoft/phi-2,72,16,110252351.0,0.262656,0.535461,0.467155,0.262656,,32584.07,27484.13,60068.19,6622659564141.85,test_olive_x72_y16.log
OLIVE (Non-uniform Quantization),facebook/opt-2.7b,72,16,110153796.0,0.262656,0.535461,0.467155,0.262656,,32555.05,27459.6,60014.66,6610842448270.36,test_olive_x72_y16.log
OLIVE (Non-uniform Quantization),meta-llama/Llama-2-7b-hf,72,16,274954917.0,0.262656,0.535461,0.467155,0.262656,,81291.89,67929.36,149221.25,41029116312470.81,test_olive_x72_y16.log
Baseline (FP16),gpt2-large,30,16,5456734.0,0.45216,0.520078,0.485785,0.45216,,1604.79,949.43,2554.22,13937721724.68,test_baseline_x30_y16.log
Baseline (FP16),gpt2-xl,30,16,6865291.0,0.45216,0.520078,0.485785,0.45216,,2023.31,1203.22,3226.53,22151075364.18,test_baseline_x30_y16.log
Baseline (FP16),microsoft/phi-2,30,16,220404076.0,0.45216,0.520078,0.485785,0.45216,,65179.13,37625.29,102804.43,22658514922223.94,test_baseline_x30_y16.log
Baseline (FP16),facebook/opt-2.7b,30,16,220206503.0,0.45216,0.520078,0.485785,0.45216,,65120.7,37591.71,102712.41,22617941136353.83,test_baseline_x30_y16.log
Baseline (FP16),meta-llama/Llama-2-7b-hf,30,16,549799110.0,0.45216,0.520078,0.485785,0.45216,,162619.32,93502.14,256121.46,140815349005453.25,test_baseline_x30_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-large,88,16,1480797.0,0.391424,0.55555,0.524382,0.391424,,427.64,318.35,746.0,1104673931.96,test_flexposit_x88_y16.log
MixPosit (Bit-Serial + Mixed-Precision),gpt2-xl,88,16,1896395.0,0.391424,0.55555,0.524382,0.391424,,551.98,413.06,965.03,1830083529.12,test_flexposit_x88_y16.log
MixPosit (Bit-Serial + Mixed-Precision),microsoft/phi-2,88,16,60744782.0,0.391424,0.55555,0.524382,0.391424,,17906.17,12636.63,30542.8,1855315629512.15,test_flexposit_x88_y16.log
MixPosit (Bit-Serial + Mixed-Precision),facebook/opt-2.7b,88,16,66226156.0,0.391424,0.55555,0.524382,0.391424,,19549.9,13710.65,33260.55,2202718295460.17,test_flexposit_x88_y16.log
MixPosit (Bit-Serial + Mixed-Precision),meta-llama/Llama-2-7b-hf,88,16,172147670.0,0.391424,0.55555,0.524382,0.391424,,50899.24,35090.13,85989.37,14802870010082.54,test_flexposit_x88_y16.log
BitMod (Bit-Serial),gpt2-large,34,16,1424247.0,0.495584,0.48897,0.524382,0.495584,,417.58,502.9,920.48,1310992002.95,test_bitmod_x34_y16.log
BitMod (Bit-Serial),gpt2-xl,34,16,1847650.0,0.495584,0.48897,0.524382,0.495584,,539.8,638.85,1178.66,2177747297.11,test_bitmod_x34_y16.log
BitMod (Bit-Serial),microsoft/phi-2,34,16,55290440.0,0.495584,0.48897,0.524382,0.495584,,16322.37,19807.68,36130.05,1997646607704.16,test_bitmod_x34_y16.log
